Review,Rating,Sentiment
enak euy,5,Positive
ini fav sih snack dr kecil,4,Positive
ada rasa asinnya,3,Negative
kok agak pait ya kyk udah gk segar pdhl kondisi sampai rmh masih dingin apa sdh kelamaan,4,Negative
enak durian cupnya bener2 dr durian medan thx ya gan sukses selalu,5,Positive
enak respon cepat,5,Positive
pengiriman cepat rasa duriannya juga enak manis respon seller juga cepat recomended dech,5,Positive
kirain dr foto ukurannya besar ternyata hehe tp rasanya boleh laahhh puas,4,Negative
respon cepat rasa ok banget real durian asli next pasti order lagi,5,Positive
isi kurang penuh tapi rasa ok,4,Negative
semua barang selalu sesuai gambar dan deskripsi,5,Positive
barang diproses dan dikirim sangat cepat kemasan baik dan rapiterima kasih sayurbox,5,Positive
sayur dan semua disini fresh layanannya lumayan cepat,5,Positive
produk cepat sampai dan memuaskan thanks banget seller,5,Positive
sepertinya lupa dimasukkan ke dalam packing jadi tidak terkirim bersama pesanan yg lain tapi karena proses komplain mudah dan pelayanan oke jadi gapapa sudah berhasil refund,4,Negative
nanasnya gak dikirim ga diinfoin juga cara refund di tokped tau2 pesanan udh selesai otomatis,1,Negative
segarrrr,5,Positive
nanasnya manis banget cuttingnya juga rapi suka banget puas banget,5,Positive
pengiriman cepat barang oke,5,Positive
bersih tanpa biji,5,Positive
pesanan diproses cepat pengiriman juga oke cepat sampai sesuai deskripsi dan langsung santap,5,Positive
rasa kangen,5,Positive
pokoknya puas,5,Positive
respon nya cepat sehingga barangnya cepat sampe juga tq ya,5,Positive
baru nyobain,5,Positive
proses pengiriman yg cepat dan sesuai dgn deskripsi,5,Positive
rasanya enak dengan tambahan kacang tanah goreng dan sambal ekstra dikemas dengan baik dikirim express tiba tiba aja paket sudah sampai terimakasih banyak seller,5,Positive
cepat rasanya cocok dilidah,5,Positive
sesuai pesanan respon seller dan pengiriman cepat terimakasih,5,Positive
maknyusss,5,Positive
cabenya ngga ada mgk ketinggalan shg yg makan saya sendiri mereka ngga ada cabenya ngga mau makan bagaimana ngga puasa kalau saya harus habisin 5 porsi makasih ya,5,Negative
mantap dan fresh,5,Positive
enak hanya porsinya mini hehe,5,Positive
mantap dan fresh buahnya,5,Positive
respon penjual dan pengirimannya cepat,5,Positive
dah ga kehitung brp kali repeat order,5,Positive
enaaaakkkk bingitzzzzz,5,Positive
entah sudah brp puluh kali beli ini sudah jd member alias pelanggan tetap,5,Positive
enak buahnya fresh rasanya seger packingan bersih dan aman bgt pengiriman cepat seller ramah makasih banyak,5,Positive
mohon maaf kelupaan difoto saking enaknya udah abis duluan baru inget mau difoto buat review asinan kuah putih ini beda dari yang lain sih enakk banget,5,Positive
enak segeer,5,Positive
asinan nya enak bgt pengiriman sangat cepat,5,Positive
pengiriman cepat asinannya enak thx,5,Positive
pas sesuai selera,5,Positive
re order yg kesekian kalinya maaf gak sempet di foto buru2 dimasukin kulkas takut khilaf lagi puasa,5,Positive
seger and fres bngt makasihhhhh,5,Positive
ok tuanks seller,5,Positive
selalu puas deh sampe gak sempet masuk kulkas langsung dimakan,5,Positive
agak kecewa note tidak sesuai,3,Negative
biarkan tangan yg bicara mantul rasa saladnya,5,Positive
udah berkali kli bli disini enak dan memuaskan jadi langganan,5,Positive
barang dikemas secara rapi,5,Positive
oke banget selalu dan selalu beli asinan di sini lagi sampe gojek nya bingung kenapa beli asinan jauh banget karena enak dan rasanya pas banget,5,Positive
segeer banget dan sedeep,5,Positive
sudah beli untuk kesekian kalinya tetap suka dengan rasanya,5,Positive
seger dimakan siang2 cm mangganya adem bgt makasih,5,Positive
mantab terima kasih,5,Positive
bintang berbicara,5,Positive
biarlah bintang yg bicara ya terima kasih,5,Positive
pas mantab makasih yah,5,Positive
maaf ya saya kurang cocok dg rasa saus dan buah nya juga tidak fresh berair,3,Negative
sukakkk sellernya juga helpful bgt repeat order soon,5,Positive
belom dicoba semoga enak,5,Positive
alhamdulillah mksh,5,Positive
buah segar rasanya enak seller respon bagus recomended,5,Positive
gak diragukan udah pembelian yg kesekian kali pokokya sehat dan sukses terus y sis,5,Positive
udah langganan 6x pesen disini baik via toped maupun wa rasanya selalu premium dan enak keep up the good quality sis,5,Positive
exp 12 22,5,Positive
thx u kak seller diterima dgn bae thx u,5,Positive
transaksi berkali2 selalu puas,5,Positive
barang diterima dengan baik packing aman terima kasih,5,Positive
kesukaan sy pengiriman cepat dan packing nya rapi trimakasih ya,5,Positive
sesuai pesanan barang tidak kurang,4,Positive
garing mnggany enak bkl psn lagi pasti,5,Positive
enak seger bgt mangganya asem renyah pas buat ngidam,5,Positive
enak sampai repeat order terus,5,Positive
enak banget krenyes2 buahnya super segar lain kali mesti beli lagi,5,Positive
repeat order buah mangga tetap bagus sekali sesuai dengan pesanan saya yang pertama dan packing juga sangat rapi dan diikat erat terima kasih,5,Positive
termina kasih buah sudah sampai packing sangat bagus sekali dan buahnya juga bagus,5,Positive
enak bgt pesanan yg ke sekian kali,5,Positive
ini enak banget dong terasinya sukak langsung repeat order buat stock,5,Positive
baraang ny bagus pengirimannya cepeett bangeett jooss tokonya ada bonuus nya lagi,5,Positive
pelapak fast respon packing rapi barang mendarat dengan aman mantab pokoknya,5,Positive
mantap barangnya bagus dan saya rekomendasikan disini saja,5,Positive
barangnya mantap ada lebih lebihnya recomended,5,Positive
barang mantap dan berkualitas sukses terus pokoknya,5,Positive
recomended mantap,5,Positive
barangnya oke,5,Positive
recomended seller ini,5,Positive
barang berkualitas respon seller cepat,5,Positive
enak apalagi pas dapet harga diskon banyak sering sering promo yaa,5,Positive
bsrang sesuai pesanan,5,Positive
brg ok enak thanks,5,Positive
penjual ramah packing nya aman keluar kota,5,Positive
camilan sehat favoritku banget sudah 2x pesen,5,Positive
mantab beli beberapa kali belum pernah mengecewakan,5,Positive
its ok,4,Positive
pengiriman cepat enakkkk saya suka,5,Positive
rasa nya wangi tetapi tidak manis tidak sesuai iklan,1,Negative
mantabbbb packing sangat bagus,5,Positive
rasa oke hanya biji duren ada yg di dalem plastik,5,Positive
uenakkk bakal langgan nih,5,Positive
barang bagus packing rapih pengiriman cepat recommended seller,5,Positive
rasanya manis mantul mksh,5,Positive
joss udh sampe pesen ga sampe 1 jam semoga joss jg rasanya,5,Positive
ga kecewa dgn duriannya duriannya manis2 semua thx ya,5,Positive
rasanya mantap manisnya,5,Positive
selalu suka bollen kartika enak,5,Positive
kerenn akhirnya bisa menikmati bolen keju yang besar kemasan sangat baik dan pak kurir juga sopan,5,Positive
semua sesuai baik waktu pengiriman maupun item yg diorder,5,Positive
barang sampai besoknya expired,1,Negative
uda pesen hr sabtu tp pengiriman cuma ampe jam 11 senin dikirim pun sore sampai ke tujuan selasa siang,3,Negative
makanan kesukaan sejak kecil sudah 2x beli lewat toped packing rapi aman,5,Positive
gede puas,5,Positive
masih sama seperti dulu waktu sy kecil enak tgl 8 2 pesan 9 2 bayar 10 2 siang udah sampe mantep dah cm dus agak penyok tp rasa enak mksh kartika sari,5,Positive
pengiriman cepat dan pia enakk,5,Positive
seller sangat responsive,5,Positive
suka banget sama pia ini ketagihan terus,5,Positive
seller gercep enak pia nya uda sering beli sukses terus,5,Positive
barang sesuai dengan keinginan tks,5,Positive
good product good seller thankyouu,5,Positive
good seller good product,5,Positive
good product good seller thankyouu kak,5,Positive
good seller pesanan sesuai produk ok pengiriman cepat terima kasih seller sukses selalu,5,Positive
mantaap baik respon seller maupun produk ok,5,Positive
enak ngga manis puas belanja disini on time sesuai deskripsi 2 hari dan tiba jam 11 siang hehe fresh masukkan untuk topping kacang mgkin bsa dihancurkannya lebih seragam homogen krna ada piece yg trnyta besar dan keras,5,Negative
bolu nya enak dan mantapp,5,Positive
selalu puas udah langganan,5,Positive
wow yum yum enak,5,Positive
enakkk ngga terlalu manis bolu nya lembut,5,Positive
selalu puas pesan disini rasa enak dan pengiriman sesuai,5,Positive
packing nya rapi pas dibuka wangi nya enak bsk2 beli disini lagi terima kasih,5,Positive
baru pernah pesen kue serapih ini packagingnya bener2 bagus katanya po 2 hr tp besoknya udh sampai rasanya enak lembut tp mantap kacangnya jg garing top bangettsss,5,Positive
packaging aman produk sesuai ekspektasi semoga sukses,5,Positive
bolu jadul enak dan dikemas rapi sekedar saran bag nya jgn plastik kali yaa spy tdk menambah sampah plastik hehe,5,Positive
enak admin good response,5,Positive
alhamdulillah kuenya enak sesuai pesanan terima kasih,5,Positive
admin walaupun agak lama respon mgkn krn orderan banyak tapi begitu dinotice prosesnya cepet jadi alhamdulillah bisa diterima sesuai waktu yg diharapkan rasa kue ijonya sih jelas juara bangeett,5,Positive
pesananku cepet sampe pagi pesen siang udh sampe free greeting card luvvv makasi,5,Positive
paraaah enak banget,5,Positive
suka bgt sampai order buat paket hampers ke teman2,5,Positive
respon seller cepat packing baik dan sesuai pesanan,5,Positive
kirimnya cepet banget packing okeee rasa sungguh endul nggak malu2in buat kasih2 ke tetangga,5,Positive
beneran kue basah yg seger tks kaaaa sukses selalu,5,Positive
tanpa hancurr manntaabbb,5,Positive
sebenernya paling takut kalo order makanan apalagi dr luar kota karena pengalaman bbrp kali pas sampe makanannya ancur atau lbh parah basi tapi ini enggak sama sekali packingnya juga bagus banget dan aman banget pasti bakalan order disini lagi,5,Positive
barang kondisi bagus rasanya enak seller fast respon packing rapi dan aman rekomen,5,Positive
barang kondisi bagus enak seller fast respon packing rapi dan aman rekomen,5,Positive
sdh berkali kali beli disini,5,Positive
not really for me hehe buat aku sangat sangat kemanisan tapi teksturnya ok,3,Negative
gk pernah kecewa beli disini,5,Positive
baru pertama kali order karena blm buka puasa jd blm bisa nyobain tapi itu harumnya menggoda bangettttt,5,Positive
admin ramah banget dan fast response browniesnya two thumbs up coklatnya berasa banget dan gak kemanisan,5,Positive
adminnya fast respon bgt ada yg ga ada lgsg konfirmasi,5,Positive
enak2 semua manisnya pas terutama yg varian greentea nya grenteacheese nya tebal dan coklatnya enak,5,Positive
enak banget cokelat nya meleleh nagih sih inii bahayaa,5,Positive
enak banget dan pengiriman super cepat sudah 2x belanja di sini,5,Positive
original exp masih jauh fresh makasih ya,5,Positive
dikirim tepat waktu,5,Positive
respon bagus,5,Positive
responnya sm pengirimannya cpt banget kuenya jg enak,5,Positive
kuenya enak lembut dan gak terlalu manis,5,Positive
pesen semalem bsk siang sampe,5,Positive
paket telah sampai packing oke kurir oke produk oke semoga kue bolu talasnya berkah,5,Positive
pengiriman cepat dan layanan ramah,5,Positive
mantap fast response penjualnya dan pengiriman cepat rasanya juga enak,5,Positive
mantapp lezatnya,5,Positive
wajib beli lagi,5,Positive
pengiriman super cepet dan seller ramah beli beberapa kloter,5,Positive
terimakasih kak,5,Positive
respon cepat pesanan sesuai request pengiriman pake sameday aman sekali thank you,5,Positive
beli keberapa kali syukaa,5,Positive
nagih enak banget selalu,5,Positive
enaaakkkkk,5,Positive
good thx seller,5,Positive
ok rasa tdk mengecewakan,5,Positive
rasanya enak mantap ga usah jauh2 ke surabaya untuk beli ceapt banget sampainya makasih yaaa,5,Positive
gak pernah nyesel beli disini kualitas kue terjamin dan respin seller cepat,5,Positive
alhamdulillah kue sdh smp dan diterimadgn baik cm blm dibuka krn utk lbrn nanti sy order sdh yg ke 3 jd sy sdh tau rasanya enak bngt manusnya pas gak bikin enak smg sll sukses dgn ushnya yaa aamiin,5,Positive
pesan siang sore sudah sampai adminnya ramah sudah langganan di livana kalo ke surabaya selalu beli livana ada outlet di jakarta lebih memudahkan buat beli rasa sudah tidak perlu diragukan lagi semuanya enakk,5,Positive
enak dan nikmat pengiriman dan packaging bagus dan cepat,5,Positive
packingnya rapi banget keren dah pokoknya untuk kuenya enak g was2 kuenya penyok atau kenapa2 di jamin sampe dengan selamat kuenya happy shopping,5,Positive
kue nya istimevvah,5,Positive
walaupun respon sedikit slow tapi sekali di notice prosesnya cepet banget admin juga sangat membantu alhamdulillah sesuai estimasi waktu kalau rasa nggak usah dibahas jelas daeebaakk juaraaa,5,Positive
ahhh sukaaa packagingnya menggemaskan pengiriman juga cepat gak malu2in kalau buat kirim2 hampers,5,Positive
super cepat pengirimannya thanks,5,Positive
enakkkkk bgt,5,Positive
cepat respon dn oke bingit kue nya,5,Positive
kuenya yummy pelayanan sangat baik super cepat thank you,5,Positive
enakkk langsung ludes padahal makan berdua,5,Positive
enak bangeeet ongol ongolnya kenyal pas,5,Positive
seller fast respon gemblongnya empuk dan enak,5,Positive
overall enak gulanya kering dan tahan lama keringnya tp agak kegosongan jadi ada rasa paitnya ketannya udah oke banget gacor,5,Positive
terima kasih selalu puas enak cepat dan aman,5,Positive
parah udah repeat order ke 2 dan pesen lebih banyak ternyata enak banget ini,5,Positive
terima kasih enak sekali semua suka,5,Positive
enak banget banget lembut dan manisnya pas,5,Positive
enak dan bener kata penjualnya sebaiknya atau paling enak kalo lsg dimakan hari itu,5,Positive
layanan cepat mkn enak,5,Positive
ketannya legit gula merahnya berasa banget selalu jadi rebutan keluarga l,5,Positive
browniesnya eunak gak terlalu manis packing rapi n ok,5,Positive
barang sesuai terima kasih,5,Positive
pengiriman cepat pengemasan aman dan exp cukup lama thx,5,Positive
endul,5,Positive
brownisnya enaaakkkk,5,Positive
kue enak dan delivery cepat,5,Positive
browniesnya sampai dengan selamat packingnya yang dibungkus satu satu bikin lebih aman ya kalau rasa browniesnya prima rasa mah jelas enak lah,5,Positive
ya primarasa seng ada lawanlah enak,5,Positive
barang di terima dengan kondisi agak sedikit hancur ujungnya sepertinya terguncang2 dalam pengiriman rasa browniesnya enak pengiriman cepat,4,Negative
barang sesuai deskripsi enakk dan lezat semoga makin sukses dan untung y bos,5,Positive
kemasan rapi aman sampai tujuan,5,Positive
expire nya terlalu pendek jangka waktunya cuma 4 hari stlh brg ditrima,3,Negative
yg mix akutuh bingung kok kardusnya brownis keju yaa tp buat kardus pengirimannya lumayan berani juga yaa dikirim bgitu,3,Negative
tks tks tks,5,Positive
siiip and top,5,Positive
rasanya enak harganya murah,5,Positive
pesen isi 10 dikirim isi 5 chat slowwwwww response wa pun sama,5,Negative
bakpianya bagus enak pengirimaan tepat waktu recommended seller,5,Positive
mantap jogja bekasi cpet bgt nyampenya exp msh 4hr lg lgsg msukin kulkas,5,Positive
pengiriman cepat packing aman sukses buat toko nya yaa,5,Positive
recommended seller tepat waktu pengiriman komunikatif seller dan packaging bagus,5,Positive
cepet bgt ngirimnya mantap,5,Positive
wueeenakkk tenannnnn untuk pengiriman mulusss banget ga ada kendala ap2 seller langsung dm update foto baik produk maupun babang gojek kangen sama bandung order dr cabang aja,5,Positive
bolen dikemas dengan bubble wrap dan plastik selles mengkomunikasikan pengiriman pesanan dengan baik expired date di 9 mei 2021,5,Positive
sdh tau bolen ini pasti enaaak mksh sdh cepat krmnya,5,Positive
enak bangetttttttt fresh,5,Positive
seller fast respons dan komunikatif sekali,5,Positive
yg 2 rasanya habis gak apa2 yg coklat juga mantap,5,Positive
gerak cepat pesan ga sampe 30 menit sudah dijemput kurir recommended services 5,5,Positive
pengiriman cepat sameday respon penjual cepat dan rasanya enak banget makasih kak,5,Positive
pengiriman cepat seller cepet tanggap barang kualitas oke banget pengiriman instan mantap,5,Positive
respond cepat pembelian kedua hehe,5,Positive
rindu bali,5,Positive
produk sesuai deskripsi tanggapan dan pengiriman cepat sangat recommended,5,Positive
mantapp respon toko cepat expired nya jauh,5,Positive
expired masih sebulan lgi,5,Positive
mantap lembut lumer di mulut,5,Positive
thanks pia legongnnya enak,5,Positive
pengiriman cepat padahal di peak season rasa semoga enak kirim tuk hadiah,5,Positive
kue enak pengiriman cepat,5,Positive
packingan rapih kue enak,5,Positive
pengiriman nya cepat,5,Positive
lv is the best kuenya enak2 dan bervariasi trusted and recommended seller,5,Positive
respon baik packaging sangat rapi,5,Positive
enak lapis legitnya,4,Positive
packing bagus rasa enak,5,Positive
packingan aman,5,Positive
enak lembut,5,Positive
terluv gula dan kelapanya enak banget ini kacau si enaknya bakalan order lagi recommended banget,5,Positive
enak banget gemblongnya ketannya lembut gulanya medok,5,Positive
gemblong terenak recommended seller pengiriman sangat cepat,5,Positive
enak bgt sih ini ketannya jg empuk,5,Positive
good product good delivery,5,Positive
endul bgt,5,Positive
so delish,5,Positive
sukak,5,Positive
rasa n packing ok,3,Positive
sepertinya kemasan kurang cocok utk pengiriman same day isinya jadi ikut tertekan2,3,Negative
terlalu enak diatas ekspektasi pasti beli lagi utamanya yang vanilla jadi rebutan,5,Positive
soesnya enak dan bakal repeat order,5,Positive
hmmm awal pikir ini mirip2 beard papa eh ternyata lebih ke kue sus jadul gitu ok sih not bad but not to my liking lebih suka yang light,4,Negative
tooopppp,5,Positive
vanilla enak bagian kulitnya original enak dalemnya rum terasa matcha krim bagian dalam terasa aroma jasmine greentea choco agak eneg,5,Positive
min benyek kue nya tapi gpp lah untung rasa nya enak,4,Negative
entah pembelian yg keberapa kali soalnya selalu pesen disini pengiriman and packing nya bagus banget yg sekarang pengiriman gosend selalu puas,5,Positive
rasanya lumayan enak tp gak terlalu berasa wismannya isinya dikit,4,Negative
ok banyak isinya cm mgkn krn pinggir dan tipis2 jd rasanya krg moist lbh suka lapis sby nya,4,Negative
enak super rasanya,5,Positive
secara pelayanan bagus responsif dan cpt diproses pengiriman jg bagus packingngya klo kualitas dan rasa krn ga tau lapis legit yg enak itu gmn jadi ya mnurut saya ini enak cuma emang agak overprice ya untuk pinggiran dikit bgt mending sekalian beli lapis monica di alfamart,4,Negative
enak bgt dan lembut next order lagi,5,Positive
lumayan kue nya pda nempel irisan nya tips bangat,5,Negative
cake nya udah gosong paking ngasal,1,Negative
pengiriman cepat packing lumayan mungkin karena pinggiran kue sedikit gosong rasanya sedikit pahit saya tidak menemukan beli 3 gratis 1 yg saya terima cuma 3 tp overall good lah,4,Negative
sudah takdir beli kue zonk beli sebelum baca review pengiriman lama gambar dan produk yg dikirim beda rasa kue berminyak dan gak enak maafin ya tp saya hanya mau menyelamatkan org lain dari kekecewaan yg saya rasakan,1,Negative
he hee enak,5,Positive
enak cuma jgn berharap seperti di gambar yg penuh ya he he he,5,Negative
ada bau yg anéh,3,Negative
nggak enak parah sekali mau makan nya juga takut paraaahhhh,1,Negative
ga sesuai dengan gambar soal rasa standar banget,1,Negative
enak dan pengiriman cepat langsung habis ama anak2,5,Positive
rasa nya itu loh ngangenin mantab,5,Positive
enak sihh ini sblmnya aku udh pesen yg mahal di tk sblh trus penasaran apa di tokped ada yg jual mooncake ternyata kok ada yg hrgnya terjangkau dan review bagus jd aku sengaja beli lg mau compare ternyata rasanya jg ga kalah loh kata seller bestsellernya varian pandan dan kc merah jd aku beli yg varian pandan kc merah kc item telur asin dan durian telur asin aku plg doyan yg kc item dan duriannya kulitnya jg lmyn tipis jd isinya lbh berasa pengiriman jg cpt aku pesen malem bsk sore udh dikirim jd seneng deh nemu mooncake yg hrg terjangkau kalo kpn2 pengen bs beli lg disini nyoba yg varian lain,5,Positive
mooncake nya enak nggak eneg seperti mooncake pada umumnya,5,Positive
agak hancur ya dtg nya cemet tp rasa ok bgt rwcomended seller,5,Negative
pengiriman cepat dan kualitas produknya memang memuaskan ini pesanan yang beberapa kalinya,5,Positive
enak bangeet puas sama pelayanannya terima kasih kuenyaa,5,Positive
ini mooncake enak parah sih dan good service bgt bungkusan nya jg dibuat bener2 aman padahal pengiriman ke jawa barat recommended,5,Positive
enak bingiiitsss,5,Positive
enak bgt rasanya,5,Positive
enaakkk pengiriman cepet,5,Positive
pesanan tiba cepat rasa enak kwalitas stabil murah hati dikasih sambelnya 2 plastik,5,Positive
udah ini enak titik no debat yang bengkoang ya,5,Positive
puasss skl enak coipannya sambelnya dikasih banyak inisdh kali ke 3 pesan sm toko ini,5,Positive
maknyooossssse,5,Positive
mantap ini,5,Positive
baru tau ada di tokopedia langsung order kerennnnn banget deh order tgl 4 tengah malem di respon sama adminnya tgl 5 dikirim dan barusan nyampe tgl 6 ini mah masuknya sehari aja padahal semarang depok packing rapih bangettt mochi aman ga berantakan untuk rasa yah udh terkenal enak dari dulu makasi moachi gemini sukses terus,5,Positive
terima kasih pengiriman cepat seller komunikatif produk enak,5,Positive
moachi nya enaaak sampai langsung abisss,5,Positive
selalu puas belanja disini pengiriman 1 hr sampek padahal pake free ongkir seller ramah,5,Positive
mantaplah rasanya respon sellernya cepat pengiriman super cepat 1 hari sampai dari semarang ke tangerang,5,Positive
akhirnya sampe juga terimakasih,5,Positive
cs ramah pengemasan cepat begitu juga pengiriman sehari sampai dengan bebas ongkir dari semarang surabaya pengemasan aman dan rapi kemasan mochi juga dalam plastik vakum expired date msh seminggu lagi saya sarankan pesan yg oreo,5,Positive
keren kmrn pesan hari ini sudah sampai thx you,5,Positive
pengiriman cepat 1hari sudah sampai thanks ya seller next order lagi,5,Positive
packaging rapi dan aman tidak penyok isi aja kebalik2 mgkn krn pengiriman rasa selalu enak,5,Positive
mantap makasih,5,Positive
manis manis enak,5,Positive
thanks gan pesen hari itu langsung dikirim,5,Positive
orderjumat sore minggu siang sdh sampai padahal jauh pie susu kacang fresh packingnya aman sellernya baik rekomend order di toko ini,5,Positive
belum 2 hari udah abis mantul,5,Positive
barang ok produksi baru pengiriman cepat cuma sayang dari kurir nya handle nya agak kurang mungkin pie nya agak hancur jadi nya,5,Negative
mantaaapp,5,Positive
seller nya good respon fast delivery padahal aku pake yg bebas ongkir pesen tgl 15 sampe 18 dr denpasar ke bekasi produk sudah pasti okeh makasih yaaaa,5,Positive
pesanan dah sampai dikirim tanggal produksi terbaru,5,Positive
pengirimannya cepat meskipun pake free ongkir,5,Positive
produk telah diterima dengan baik terimakasih,5,Positive
kurang 1,3,Negative
deliverynya cepat sekali packing rapi harga reasonable,5,Positive
enaaaak uda pesanan ke sekian kali dan selalu sukaa sama pelayanan toko ini fast respon barang sesuai deskripsi really recommended seller,5,Positive
brng ditrima keadaan baik cepat respon dan pengiriman jg cepat smg aja rasa nya enak trima ksh seller,5,Positive
blm dicoba,5,Positive
eunakkk,5,Positive
gilakkk enak deh ketannya pulen babinya endul lengkap dngan temen2nya hioko lapchong uda gk bs berkata2 sorry yahgua mo ngabisin dulu,5,Positive
pesanan diterima dalam keadaan fresh dan dikemas dg rapi sangat bersih dan aman sangat recomended,5,Positive
ukuran besar paket tiba ontime pakaging sgt baik,4,Positive
enak isi melimpah pengiriman ke luar pulau aman,5,Positive
enak benerrr harga gak bs boongg worth it beneran deh ini super enak,5,Positive
enaakkk,5,Positive
barang sesuai iklan dan dikirim dlm waktu yg baik,5,Positive
suka suka suka mao order lg kalo udah abis enak fresh sampe dengan aman krn di vakum proses buatnya cepet seller ramah all good,5,Positive
suka banget bakal order lg,5,Positive
pesanan sudah sampai dan rasa nya mantab thx gan,5,Positive
enak bolunya ga kalah dgn yg beli di medan dan ini kejunya ga pelit,5,Positive
ga pernah bosen pesen truss seller bae bener pengiriman slalu tepat dan rasa kue slalu enak lembut,5,Positive
kulit bolunya mantap moistt yg rasa keju wenakkk,5,Positive
respon dan pengiriman cpt kualitas ok recomen bgt,5,Positive
bolunya agak lebih kering dari yg sebelumnya saya beli sih tapi filling nya oke ga pelit,4,Negative
order yg kedua kali tp bkn buat sy kt yg dikasih enak bolgul,5,Positive
selalu enak buat ngopi pagi hari,5,Positive
mantaaa aaappp,5,Positive
terima kasih barang sdh diterima dengan baik,5,Positive
dua hari sampai jogja tangerang aman langsng msk kulkas terimakasih seller,5,Positive
coba gak dichat gak tau deh dikirim kapan proses pengemasan cukup lama sampe 3 hari pengemasan tanpa bubble wrap untung tidak penyok,4,Negative
entah antri karena mendekati lebaran atau apa proses pengemasannya sampe 2 hari itu aja di chat duluan kalo gak dichat siapa yg tau dikirim kapan,4,Negative
pesanan diterima dengan amat baik packingan aman dengan kardus dan segel fragile food delivery adminnya ramah sukses buat adminnya dan tokonya terima kasih banyak,5,Positive
packing rapi iya meski agak sedikit bekas ketumpuk2 pengiriman cepat nyampe 3 hari dan masih ada sisa menjelang exp,5,Negative
pengiriman agak lama,3,Negative
anak suka banget,5,Positive
pengiriman cpt mksh sdh diterima sm kerabat,4,Positive
katanya fresh order tgl 6 dikirim tgl 7 sampe tgl 8 expired tgl 9 gila kali suruh nelen sehari,1,Negative
tetep enak walapun penyok karena pengiriman,5,Negative
pengemasan sebenarnya rapi pake kardus kartika sari tp ntah kenapa banana rollnya berantakan,4,Negative
hari ini sampai besok sudah tanggal exp coklat meleleh kemana2 rasanya pun sudah sedikit asam seperti basi,3,Negative
terima kasih ya pesananku udah sampe nihh baru dibuka satu udah langsung di foto,5,Positive
masih enak seperti dulu tapi sayang terkocok waktu pengiriman jadi gepeng gepeng,5,Negative
sayang kemasannya agak penyok tapi overall is good ga merubah rasa krn dimakan sendiri kecuali klo mau kasih ke orang kurang enak aja klo penyok kemasannya thankyou,5,Negative
enak banget khas caikue pontianak seller ramah recommended banget lah,5,Positive
enak dan ada bawa goreng nya wangi,5,Positive
rasanya enak next order lagi tks,5,Positive
pelayanan nya cepat penjual responsif,5,Positive
beli untuk temen2 kantor katanya enaaaak thanks seller,5,Positive
enak choipannya sy lebih suka yg bengkoang tp overall semuanya enak,5,Positive
enakkk kulit choipan nya tipis isinya banyak,5,Positive
belom dicoba tapi keliatannya enak dan besar2,5,Positive
choipan tiba dengan kondisi perfect tidak berantakan untuk rasa sesuai dengan yang ditulis di note dan setelah dicoba beh mantulllll banget nih isian padat tekstur kulitnya mantap betul ngak salah deh beli segini banyak untuk pengiriman sangat cepat hahahahahaha terima kasih seller,5,Positive
choipan udah sampai belum dicoba karena buat buka puasa semoga rasanya sesuai dengan harapan terima kasih pengiriman lumayan cepat,5,Positive
kecewa sama pelayanannya kali ini aku tulis minta tolong dianter pagi tp dianter sore minta buat yg ramadhan edition dikirim yg edisi biasa jd ga dapet ramadhan card samsek kaya ngasih brownies biasa bukan hampers kl mau cepet katanya di dm ig tp di ig dibales lewat tokped kl mau cepet padahal wkt pertama kali beli suka sm pelayanannya tp kok gini,4,Negative
gemeshhh bgtdpt 2 paperbag ma kartuny,5,Positive
tdk terlalu manis chewwy enak beli utk small hampers natal dsn utk sendiri so nice packagingnya plus bonus card natal,4,Positive
penjual responsive pengiriman cepat packaging aman sy suka cookiesnya uenaakkk tp sy cuma suka yg rasa original lotus biscoff yg lain kemanisan mnurut sy kalo yg original enaakkk bngt uda order berkali2,5,Positive
yummy sesuai fotonya team store excellent,5,Positive
enak bgt cookiesnyaa sukaaaaa ud repeat order hehehe,5,Positive
ini enak makasih ya seller,5,Positive
enaaaaaaaaaaaaaaaak,5,Positive
enakkkkk bgt n cepet bgt top thank you sis,5,Positive
gedeee bangett rasanya juga sesuai ekspektasi enak deh pokoknya,5,Positive
kuenya beneran enak lembut renyah sellernya juga ramah banget uda pasti bakal ro lagi,5,Positive
mantulll polll,5,Positive
cpt responnya lgsg dikiri tks mudah2an enak,5,Positive
enakkkkkk bisa langganan,5,Positive
mantabs keren pelayanannya ok banget,5,Positive
enak juga nastar nya rekomendasi ini,5,Positive
packingnya bagus pengiriman aman rasa biasa saja enak tapi nggak banget so so lah,5,Positive
trima kasih uda sampai,5,Positive
lumayan menurut saya terlalu manis,5,Positive
kuenya lumayan enak empuk meski bukan wisman krn susunya berasa manisnya juga pas cuma hrgnya agak dikurangi biar bs beli2 terus atau buat dijual lagi mksh,4,Positive
enakkkkkkkkkkkkkkkkkkkkkkkkkkk,5,Positive
sangat bagus penjual nya sangat ramah dan responsive sekali,5,Positive
yaass pienya sampai tujuan dgn selamat packing rapi pake bubblewrap jadi aman thanks a bunch yaaa bli,5,Positive
kurang fresh keliatan sudah lama,3,Negative
packing aman banget pia nya masih fresh kerasa respon penjual ramah dan baik banget harga paling murah bintang 7 deh kalo bisa,5,Positive
tq seller ramah n responsif banged pengiriman super cepat packaging aman tq,5,Positive
