Review,Rating,Sentiment,tokenization,Review_Normalized,df_token_stemm,Review_clean
enak buangettttt sipp deh pokoke,5,Positive,"['enak', 'buangettttt', 'sipp', 'deh', 'pokoke']","['enak', 'buangettttt', 'sipp', 'deh', 'pokoknya']","['enak', 'buangettttt', 'sipp', 'deh', 'pokok']",enak buangettttt sipp deh pokok
dendeng sapi nya sesuai dengan pesanan,5,Positive,"['dendeng', 'sapi', 'nya', 'sesuai', 'dengan', 'pesanan']","['dendeng', 'sapi', 'nya', 'sesuai', 'dengan', 'pesanan']","['dendeng', 'sapi', 'nya', 'sesuai', 'dengan', 'pesan']",dendeng sapi nya sesuai pesan
sangat puas sdh beli ke sekian kalinya packing sangat rapih sampai sangat cepat pokoknya mantul deh terima kasih banyak seller selamat natal tuhan yesus memberkati amin,5,Positive,"['sangat', 'puas', 'sdh', 'beli', 'ke', 'sekian', 'kalinya', 'packing', 'sangat', 'rapih', 'sampai', 'sangat', 'cepat', 'pokoknya', 'mantul', 'deh', 'terima', 'kasih', 'banyak', 'seller', 'selamat', 'natal', 'tuhan', 'yesus', 'memberkati', 'amin']","['sangat', 'puas', 'sudah', 'beli', 'ke', 'sekian', 'kalinya', 'pengemasan', 'sangat', 'rapi', 'sampai', 'sangat', 'cepat', 'pokoknya', 'mantap', 'deh', 'terima', 'kasih', 'banyak', 'seller', 'selamat', 'natal', 'tuhan', 'yesus', 'memberkati', 'amin']","['sangat', 'puas', 'sudah', 'beli', 'ke', 'sekian', 'kali', 'emas', 'sangat', 'rapi', 'sampai', 'sangat', 'cepat', 'pokok', 'mantap', 'deh', 'terima', 'kasih', 'banyak', 'seller', 'selamat', 'natal', 'tuhan', 'yesus', 'kati', 'amin']",puas beli sekian kali emas rapi cepat pokok mantap deh terima kasih seller selamat natal tuhan yesus kati amin
packing sangat rapi pengiriman cepat dan rasa enak,5,Positive,"['packing', 'sangat', 'rapi', 'pengiriman', 'cepat', 'dan', 'rasa', 'enak']","['pengemasan', 'sangat', 'rapi', 'pengiriman', 'cepat', 'dan', 'rasa', 'enak']","['emas', 'sangat', 'rapi', 'kirim', 'cepat', 'dan', 'rasa', 'enak']",emas rapi kirim cepat enak
sudah langganan enakkkkk packing rapih makasih banyak ya tuhan yesus memberkati sukses selalu,5,Positive,"['sudah', 'langganan', 'enakkkkk', 'packing', 'rapih', 'makasih', 'banyak', 'ya', 'tuhan', 'yesus', 'memberkati', 'sukses', 'selalu']","['sudah', 'langganan', 'enakkkkk', 'pengemasan', 'rapi', 'terima kasih', 'banyak', 'ya', 'tuhan', 'yesus', 'memberkati', 'sukses', 'selalu']","['sudah', 'langgan', 'enakkkkk', 'emas', 'rapi', 'terima kasih', 'banyak', 'ya', 'tuhan', 'yesus', 'kati', 'sukses', 'selalu']",langgan enakkkkk emas rapi terima kasih ya tuhan yesus kati sukses
expired nya lumayan cepet ya dikasinya juli  semoga belum keburu apek rasanya dan sebelum juli sudah habis soalnya anak kos jadi dikonsumsi sendiri,4,Negative,"['expired', 'nya', 'lumayan', 'cepet', 'ya', 'dikasinya', 'juli', 'semoga', 'belum', 'keburu', 'apek', 'rasanya', 'dan', 'sebelum', 'juli', 'sudah', 'habis', 'soalnya', 'anak', 'kos', 'jadi', 'dikonsumsi', 'sendiri']","['kadaluarsa', 'nya', 'lumayan', 'cepat', 'ya', 'dikasinya', 'juli', 'semoga', 'belum', 'keburu', 'apek', 'rasanya', 'dan', 'sebelum', 'juli', 'sudah', 'habis', 'soalnya', 'anak', 'kos', 'jadi', 'dikonsumsi', 'sendiri']","['kadaluarsa', 'nya', 'lumayan', 'cepat', 'ya', 'kas', 'juli', 'moga', 'belum', 'keburu', 'apek', 'rasa', 'dan', 'belum', 'juli', 'sudah', 'habis', 'soal', 'anak', 'kos', 'jadi', 'konsumsi', 'sendiri']",kadaluarsa nya lumayan cepat ya kas juli moga keburu apek juli habis anak kos konsumsi
udah di kasih keterangan original dan rumput laut tp yg datang bbq,3,Negative,"['udah', 'di', 'kasih', 'keterangan', 'original', 'dan', 'rumput', 'laut', 'tp', 'yg', 'datang', 'bbq']","['sudah', 'di', 'kasih', 'keterangan', 'asli', 'dan', 'rumput', 'laut', 'tapi', 'yang', 'datang', 'bbq']","['sudah', 'di', 'kasih', 'terang', 'asli', 'dan', 'rumput', 'laut', 'tapi', 'yang', 'datang', 'bbq']",kasih terang asli rumput laut bbq
kurang sedap kurang kerasa ikan nya,3,Negative,"['kurang', 'sedap', 'kurang', 'kerasa', 'ikan', 'nya']","['kurang', 'sedap', 'kurang', 'terasa', 'ikan', 'nya']","['kurang', 'sedap', 'kurang', 'asa', 'ikan', 'nya']",sedap asa ikan nya
paket keterima dg baiik favorit orgtua enak tdk asin jd teman mkn nasi trmksh kak,5,Positive,"['paket', 'keterima', 'dg', 'baiik', 'favorit', 'orgtua', 'enak', 'tdk', 'asin', 'jd', 'teman', 'mkn', 'nasi', 'trmksh', 'kak']","['paket', 'terima', 'dengan', 'baiik', 'favorit', 'orang tua', 'enak', 'tidak', 'asin', 'jadi', 'teman', 'makan', 'nasi', 'terima kasih', 'kak']","['paket', 'terima', 'dengan', 'baiik', 'favorit', 'orang tua', 'enak', 'tidak', 'asin', 'jadi', 'teman', 'makan', 'nasi', 'terima kasih', 'kak']",paket terima baiik favorit orang tua enak asin teman makan nasi terima kasih kak
udah dtg thx ,5,Positive,"['udah', 'dtg', 'thx']","['sudah', 'datang', 'terima kasih']","['sudah', 'datang', 'terima kasih']",terima kasih
paket keterima dg baiikk sellau pesan  sini krn kesenangan orgtua trmksh ya kak sukses selalu dn tambah byk pelanggan nya,5,Positive,"['paket', 'keterima', 'dg', 'baiikk', 'sellau', 'pesan', 'sini', 'krn', 'kesenangan', 'orgtua', 'trmksh', 'ya', 'kak', 'sukses', 'selalu', 'dn', 'tambah', 'byk', 'pelanggan', 'nya']","['paket', 'terima', 'dengan', 'baiikk', 'sellau', 'pesan', 'sini', 'karena', 'kesenangan', 'orang tua', 'terima kasih', 'ya', 'kak', 'sukses', 'selalu', 'dan', 'tambah', 'banyak', 'pelanggan', 'nya']","['paket', 'terima', 'dengan', 'baiikk', 'sellau', 'pesan', 'sini', 'karena', 'senang', 'orang tua', 'terima kasih', 'ya', 'kak', 'sukses', 'selalu', 'dan', 'tambah', 'banyak', 'langgan', 'nya']",paket terima baiikk sellau pesan senang orang tua terima kasih ya kak sukses langgan nya
paket keterima dg baik pakingan dg kardus rasa tdk asin orgtua sy cocok dn suka sdh  order sellernya jg ramah trmksh ya kak sukses selalu,5,Positive,"['paket', 'keterima', 'dg', 'baik', 'pakingan', 'dg', 'kardus', 'rasa', 'tdk', 'asin', 'orgtua', 'sy', 'cocok', 'dn', 'suka', 'sdh', 'order', 'sellernya', 'jg', 'ramah', 'trmksh', 'ya', 'kak', 'sukses', 'selalu']","['paket', 'terima', 'dengan', 'baik', 'pengemasan', 'dengan', 'kardus', 'rasa', 'tidak', 'asin', 'orang tua', 'saya', 'cocok', 'dan', 'suka', 'sudah', 'beli', 'sellernya', 'juga', 'ramah', 'terima kasih', 'ya', 'kak', 'sukses', 'selalu']","['paket', 'terima', 'dengan', 'baik', 'emas', 'dengan', 'kardus', 'rasa', 'tidak', 'asin', 'orang tua', 'saya', 'cocok', 'dan', 'suka', 'sudah', 'beli', 'sellernya', 'juga', 'ramah', 'terima kasih', 'ya', 'kak', 'sukses', 'selalu']",paket terima emas kardus asin orang tua cocok suka beli sellernya ramah terima kasih ya kak sukses
enak baru dateng udah dicemil in,5,Positive,"['enak', 'baru', 'dateng', 'udah', 'dicemil', 'in']","['enak', 'baru', 'datang', 'sudah', 'dicemil', 'in']","['enak', 'baru', 'datang', 'sudah', 'dicemil', 'in']",enak dicemil in
tidak ada yg buat sy suka barangnya kurang fresh lebih baik beli langsung di resto nya jadi bs liat fresh atau tidak,4,Negative,"['tidak', 'ada', 'yg', 'buat', 'sy', 'suka', 'barangnya', 'kurang', 'fresh', 'lebih', 'baik', 'beli', 'langsung', 'di', 'resto', 'nya', 'jadi', 'bs', 'liat', 'fresh', 'atau', 'tidak']","['tidak', 'ada', 'yang', 'buat', 'saya', 'suka', 'barang', 'kurang', 'segar', 'lebih', 'baik', 'beli', 'langsung', 'di', 'resto', 'nya', 'jadi', 'bisa', 'lihat', 'segar', 'atau', 'tidak']","['tidak', 'ada', 'yang', 'buat', 'saya', 'suka', 'barang', 'kurang', 'segar', 'lebih', 'baik', 'beli', 'langsung', 'di', 'resto', 'nya', 'jadi', 'bisa', 'lihat', 'segar', 'atau', 'tidak']",suka barang segar beli langsung resto nya lihat segar
agak terlalu kering ya tempenya kemasan ga ada labelnya bu rudy seperti di gambar,4,Negative,"['agak', 'terlalu', 'kering', 'ya', 'tempenya', 'kemasan', 'ga', 'ada', 'labelnya', 'bu', 'rudy', 'seperti', 'di', 'gambar']","['agak', 'terlalu', 'kering', 'ya', 'tempenya', 'kemasan', 'tidak', 'ada', 'labelnya', 'bu', 'rudy', 'seperti', 'di', 'gambar']","['agak', 'terlalu', 'kering', 'ya', 'tempe', 'kemas', 'tidak', 'ada', 'label', 'bu', 'rudy', 'seperti', 'di', 'gambar']",kering ya tempe kemas label bu rudy gambar
kenapa prosesnya lama ya apa tidak ready,1,Negative,"['kenapa', 'prosesnya', 'lama', 'ya', 'apa', 'tidak', 'ready']","['kenapa', 'prosesnya', 'lama', 'ya', 'apa', 'tidak', 'siap']","['kenapa', 'proses', 'lama', 'ya', 'apa', 'tidak', 'siap']",proses ya
good product good seller,5,Positive,"['good', 'product', 'good', 'seller']","['good', 'produk', 'good', 'seller']","['good', 'produk', 'good', 'seller']",good produk good seller
maaf aga keras ya bumbunya krg brasa tks,3,Negative,"['maaf', 'aga', 'keras', 'ya', 'bumbunya', 'krg', 'brasa', 'tks']","['maaf', 'agak', 'keras', 'ya', 'bumbunya', 'kurang', 'berasa', 'terima kasih']","['maaf', 'agak', 'keras', 'ya', 'bumbu', 'kurang', 'asa', 'terima kasih']",maaf keras ya bumbu asa terima kasih
sampenya cepet dan rapi belom dicobain,5,Positive,"['sampenya', 'cepet', 'dan', 'rapi', 'belom', 'dicobain']","['sampai', 'cepat', 'dan', 'rapi', 'belum', 'dicoba']","['sampai', 'cepat', 'dan', 'rapi', 'belum', 'coba']",cepat rapi coba
bau amis,2,Negative,"['bau', 'amis']","['bau', 'amis']","['bau', 'amis']",bau amis
barang diterima sesuai photo pesanan packing ckp rapi aman cepat nyampe nya jg makasih seller,5,Positive,"['barang', 'diterima', 'sesuai', 'photo', 'pesanan', 'packing', 'ckp', 'rapi', 'aman', 'cepat', 'nyampe', 'nya', 'jg', 'makasih', 'seller']","['barang', 'diterima', 'sesuai', 'photo', 'pesanan', 'pengemasan', 'cakep', 'rapi', 'aman', 'cepat', 'sampai', 'nya', 'juga', 'terima kasih', 'seller']","['barang', 'terima', 'sesuai', 'photo', 'pesan', 'emas', 'cakep', 'rapi', 'aman', 'cepat', 'sampai', 'nya', 'juga', 'terima kasih', 'seller']",barang terima sesuai photo pesan emas cakep rapi aman cepat nya terima kasih seller
barang sudah diterima tapi belum dimasak,5,Positive,"['barang', 'sudah', 'diterima', 'tapi', 'belum', 'dimasak']","['barang', 'sudah', 'diterima', 'tapi', 'belum', 'dimasak']","['barang', 'sudah', 'terima', 'tapi', 'belum', 'masak']",barang terima masak
enak suka ikannya,5,Positive,"['enak', 'suka', 'ikannya']","['enak', 'suka', 'ikannya']","['enak', 'suka', 'ikan']",enak suka ikan
enak lain kali beli lagi trimakasih gan,5,Positive,"['enak', 'lain', 'kali', 'beli', 'lagi', 'trimakasih', 'gan']","['enak', 'lain', 'kali', 'beli', 'lagi', 'terima kasih', 'juragan']","['enak', 'lain', 'kali', 'beli', 'lagi', 'terima kasih', 'juragan']",enak kali beli terima kasih juragan
cocok semuanya thx ya,5,Positive,"['cocok', 'semuanya', 'thx', 'ya']","['cocok', 'semua', 'terima kasih', 'ya']","['cocok', 'semua', 'terima kasih', 'ya']",cocok terima kasih ya
rasanya pas  lidah,5,Positive,"['rasanya', 'pas', 'lidah']","['rasanya', 'pas', 'lidah']","['rasa', 'pas', 'lidah']",pas lidah
sesuia dengan pesanan thanks,5,Positive,"['sesuia', 'dengan', 'pesanan', 'thanks']","['sesuia', 'dengan', 'pesanan', 'terima kasih']","['sesuia', 'dengan', 'pesan', 'terima kasih']",sesuia pesan terima kasih
cpt bgt sampe nya gaada  jam uda sampesuka bgt salad nyaa,5,Positive,"['cpt', 'bgt', 'sampe', 'nya', 'gaada', 'jam', 'uda', 'sampesuka', 'bgt', 'salad', 'nyaa']","['cepat', 'banget', 'sampai', 'nya', 'gaada', 'jam', 'sudah', 'sampesuka', 'banget', 'salad', 'nyaa']","['cepat', 'banget', 'sampai', 'nya', 'gaada', 'jam', 'sudah', 'sampesuka', 'banget', 'salad', 'nyaa']",cepat banget nya gaada jam sampesuka banget salad nyaa
mantap enak banget langsung abis,5,Positive,"['mantap', 'enak', 'banget', 'langsung', 'abis']","['mantap', 'enak', 'banget', 'langsung', 'habis']","['mantap', 'enak', 'banget', 'langsung', 'habis']",mantap enak banget langsung habis
enak saladnya creamy kuahnya seller ramah sampainya jg tepat waktu thx alot ya anak sy suka salad nya,5,Positive,"['enak', 'saladnya', 'creamy', 'kuahnya', 'seller', 'ramah', 'sampainya', 'jg', 'tepat', 'waktu', 'thx', 'alot', 'ya', 'anak', 'sy', 'suka', 'salad', 'nya']","['enak', 'saladnya', 'lembut', 'kuahnya', 'seller', 'ramah', 'sampai', 'juga', 'tepat', 'waktu', 'terima kasih', 'alot', 'ya', 'anak', 'saya', 'suka', 'salad', 'nya']","['enak', 'saladnya', 'lembut', 'kuah', 'seller', 'ramah', 'sampai', 'juga', 'tepat', 'waktu', 'terima kasih', 'alot', 'ya', 'anak', 'saya', 'suka', 'salad', 'nya']",enak saladnya lembut kuah seller ramah terima kasih alot ya anak suka salad nya
suuuukkkkaaaaa,5,Positive,['suuuukkkkaaaaa'],['suuuukkkkaaaaa'],['suuuukkkkaaaaa'],suuuukkkkaaaaa
mantulll sekali selalu langganan beli salad disini,5,Positive,"['mantulll', 'sekali', 'selalu', 'langganan', 'beli', 'salad', 'disini']","['mantulll', 'sekali', 'selalu', 'langganan', 'beli', 'salad', 'disini']","['mantulll', 'sekali', 'selalu', 'langgan', 'beli', 'salad', 'sini']",mantulll langgan beli salad
akuratt patent service excellence rasa ciamik,5,Positive,"['akuratt', 'patent', 'service', 'excellence', 'rasa', 'ciamik']","['akuratt', 'patent', 'pelayanan', 'excellence', 'rasa', 'ciamik']","['akuratt', 'patent', 'layan', 'excellence', 'rasa', 'ciamik']",akuratt patent layan excellence ciamik
enak banget nyesel cuma beli satu makasih ya kak sudah bikin salad buah terenak,5,Positive,"['enak', 'banget', 'nyesel', 'cuma', 'beli', 'satu', 'makasih', 'ya', 'kak', 'sudah', 'bikin', 'salad', 'buah', 'terenak']","['enak', 'banget', 'menyesal', 'cuma', 'beli', 'satu', 'terima kasih', 'ya', 'kak', 'sudah', 'buat', 'salad', 'buah', 'terenak']","['enak', 'banget', 'sesal', 'cuma', 'beli', 'satu', 'terima kasih', 'ya', 'kak', 'sudah', 'buat', 'salad', 'buah', 'enak']",enak banget sesal beli terima kasih ya kak salad buah enak
gk sempet foto dah keburu habis,5,Positive,"['gk', 'sempet', 'foto', 'dah', 'keburu', 'habis']","['tidak', 'sempat', 'foto', 'sudah', 'keburu', 'habis']","['tidak', 'sempat', 'foto', 'sudah', 'keburu', 'habis']",foto keburu habis
mantulll rasanyapromonya sering sering juga ya meski gak promo pun tetep mantul karna seenak itu,5,Positive,"['mantulll', 'rasanyapromonya', 'sering', 'sering', 'juga', 'ya', 'meski', 'gak', 'promo', 'pun', 'tetep', 'mantul', 'karna', 'seenak', 'itu']","['mantulll', 'rasanyapromonya', 'sering', 'sering', 'juga', 'ya', 'walaupun', 'tidak', 'promo', 'pun', 'tetap', 'mantap', 'karena', 'seenak', 'itu']","['mantulll', 'rasanyapromonya', 'sering', 'sering', 'juga', 'ya', 'walaupun', 'tidak', 'promo', 'pun', 'tetap', 'mantap', 'karena', 'enak', 'itu']",mantulll rasanyapromonya ya promo mantap enak
mantaaaappppp uwenaaakkk,5,Positive,"['mantaaaappppp', 'uwenaaakkk']","['mantaaaappppp', 'uwenaaakkk']","['mantaaaappppp', 'uwenaaakkk']",mantaaaappppp uwenaaakkk
pesannya keju spesial yg dikirim coklat keju,4,Negative,"['pesannya', 'keju', 'spesial', 'yg', 'dikirim', 'coklat', 'keju']","['pesannya', 'keju', 'spesial', 'yang', 'dikirim', 'coklat', 'keju']","['pesan', 'keju', 'spesial', 'yang', 'kirim', 'coklat', 'keju']",pesan keju spesial kirim coklat keju
produk ok lain kali kalau serahkan barang ke kurir jangan terlalu malam karena sampainya ke penerima jadi molor  hari,4,Negative,"['produk', 'ok', 'lain', 'kali', 'kalau', 'serahkan', 'barang', 'ke', 'kurir', 'jangan', 'terlalu', 'malam', 'karena', 'sampainya', 'ke', 'penerima', 'jadi', 'molor', 'hari']","['produk', 'ok', 'lain', 'kali', 'kalau', 'serahkan', 'barang', 'ke', 'kurir', 'jangan', 'terlalu', 'malam', 'karena', 'sampai', 'ke', 'penerima', 'jadi', 'lambat', 'hari']","['produk', 'ok', 'lain', 'kali', 'kalau', 'serah', 'barang', 'ke', 'kurir', 'jangan', 'terlalu', 'malam', 'karena', 'sampai', 'ke', 'terima', 'jadi', 'lambat', 'hari']",produk ok kali serah barang kurir malam terima lambat
alhamdulillah sampai tepat waktu sblm buka puasa mksh kartika sari,5,Positive,"['alhamdulillah', 'sampai', 'tepat', 'waktu', 'sblm', 'buka', 'puasa', 'mksh', 'kartika', 'sari']","['alhamdulillah', 'sampai', 'tepat', 'waktu', 'sebelum', 'buka', 'puasa', 'terima kasih', 'kartika', 'sari']","['alhamdulillah', 'sampai', 'tepat', 'waktu', 'belum', 'buka', 'puasa', 'terima kasih', 'kartika', 'sari']",alhamdulillah buka puasa terima kasih kartika sari
barang sampe hanya saja pengiriman agak lama rasanya pun ya lumayan lah terimakasih,5,Negative,"['barang', 'sampe', 'hanya', 'saja', 'pengiriman', 'agak', 'lama', 'rasanya', 'pun', 'ya', 'lumayan', 'lah', 'terimakasih']","['barang', 'sampai', 'hanya', 'saja', 'pengiriman', 'agak', 'lama', 'rasanya', 'pun', 'ya', 'lumayan', 'lah', 'terima kasih']","['barang', 'sampai', 'hanya', 'saja', 'kirim', 'agak', 'lama', 'rasa', 'pun', 'ya', 'lumayan', 'lah', 'terima kasih']",barang kirim ya lumayan terima kasih
enak neh psg molennya packing rapi thks yah,5,Positive,"['enak', 'neh', 'psg', 'molennya', 'packing', 'rapi', 'thks', 'yah']","['enak', 'neh', 'psg', 'molennya', 'pengemasan', 'rapi', 'terima kasih', 'yah']","['enak', 'neh', 'psg', 'molennya', 'emas', 'rapi', 'terima kasih', 'yah']",enak neh psg molennya emas rapi terima kasih yah
packingnya mantap sih,5,Positive,"['packingnya', 'mantap', 'sih']","['pengemasan', 'mantap', 'sih']","['emas', 'mantap', 'sih']",emas mantap sih
barang sudah diterima sesuai pesanan thanks,5,Positive,"['barang', 'sudah', 'diterima', 'sesuai', 'pesanan', 'thanks']","['barang', 'sudah', 'diterima', 'sesuai', 'pesanan', 'terima kasih']","['barang', 'sudah', 'terima', 'sesuai', 'pesan', 'terima kasih']",barang terima sesuai pesan terima kasih
rasanya enak karena beli langsung dari seller nya,5,Positive,"['rasanya', 'enak', 'karena', 'beli', 'langsung', 'dari', 'seller', 'nya']","['rasanya', 'enak', 'karena', 'beli', 'langsung', 'dari', 'seller', 'nya']","['rasa', 'enak', 'karena', 'beli', 'langsung', 'dari', 'seller', 'nya']",enak beli langsung seller nya
pesanan sampai tepat waktu makasih seller dan kurir sicepat,5,Positive,"['pesanan', 'sampai', 'tepat', 'waktu', 'makasih', 'seller', 'dan', 'kurir', 'sicepat']","['pesanan', 'sampai', 'tepat', 'waktu', 'terima kasih', 'seller', 'dan', 'kurir', 'sicepat']","['pesan', 'sampai', 'tepat', 'waktu', 'terima kasih', 'seller', 'dan', 'kurir', 'sicepat']",pesan terima kasih seller kurir sicepat
favorite istri dikirim buat hampers ramadhan suka semua,5,Positive,"['favorite', 'istri', 'dikirim', 'buat', 'hampers', 'ramadhan', 'suka', 'semua']","['favorit', 'istri', 'dikirim', 'buat', 'hampers', 'ramadhan', 'suka', 'semua']","['favorit', 'istri', 'kirim', 'buat', 'hampers', 'ramadhan', 'suka', 'semua']",favorit istri kirim hampers ramadhan suka
ya ampunnn enak pake bngettt sambel ny pun enakkkk,5,Positive,"['ya', 'ampunnn', 'enak', 'pake', 'bngettt', 'sambel', 'ny', 'pun', 'enakkkk']","['ya', 'ampunnn', 'enak', 'pakai', 'bngettt', 'sambal', 'ny', 'pun', 'enakkkk']","['ya', 'ampunnn', 'enak', 'pakai', 'bngettt', 'sambal', 'ny', 'pun', 'enakkkk']",ya ampunnn enak pakai bngettt sambal ny enakkkk
pengiriman tercepat se asia tenggara terima kasih,5,Positive,"['pengiriman', 'tercepat', 'se', 'asia', 'tenggara', 'terima', 'kasih']","['pengiriman', 'tercepat', 'se', 'asia', 'tenggara', 'terima', 'kasih']","['kirim', 'cepat', 'se', 'asia', 'tenggara', 'terima', 'kasih']",kirim cepat asia tenggara terima kasih
luar biasa,5,Positive,"['luar', 'biasa']","['luar', 'biasa']","['luar', 'biasa']",
udh bbrp kali beli disini rasa sei nya enak bgt pasti order berkali kali lagi nih,5,Positive,"['udh', 'bbrp', 'kali', 'beli', 'disini', 'rasa', 'sei', 'nya', 'enak', 'bgt', 'pasti', 'order', 'berkali', 'kali', 'lagi', 'nih']","['sudah', 'bbrp', 'kali', 'beli', 'disini', 'rasa', 'sei', 'nya', 'enak', 'banget', 'pasti', 'beli', 'berkali', 'kali', 'lagi', 'nih']","['sudah', 'bbrp', 'kali', 'beli', 'sini', 'rasa', 'sei', 'nya', 'enak', 'banget', 'pasti', 'beli', 'kali', 'kali', 'lagi', 'nih']",bbrp kali beli sei nya enak banget beli kali kali nih
langsung di cobain enak mantap sambelnya jos,5,Positive,"['langsung', 'di', 'cobain', 'enak', 'mantap', 'sambelnya', 'jos']","['langsung', 'di', 'cobain', 'enak', 'mantap', 'sambelnya', 'mantap']","['langsung', 'di', 'cobain', 'enak', 'mantap', 'sambelnya', 'mantap']",langsung cobain enak mantap sambelnya mantap
maha dahsyat wagyu memang beda kelas dengan sapi biasa,5,Positive,"['maha', 'dahsyat', 'wagyu', 'memang', 'beda', 'kelas', 'dengan', 'sapi', 'biasa']","['maha', 'dahsyat', 'wagyu', 'memang', 'beda', 'kelas', 'dengan', 'sapi', 'biasa']","['maha', 'dahsyat', 'wagyu', 'memang', 'beda', 'kelas', 'dengan', 'sapi', 'biasa']",maha dahsyat wagyu beda kelas sapi
nice perfecto barang  terima dengan sangat baik respon cepat pengiriman cepat pelayanan cepat dan ramah buat agan yg lain pokoknya gak usah ragu deh dengan boss yg satu ini dijamin memuaskan terima kasih dan sukses terus bossque,5,Positive,"['nice', 'perfecto', 'barang', 'terima', 'dengan', 'sangat', 'baik', 'respon', 'cepat', 'pengiriman', 'cepat', 'pelayanan', 'cepat', 'dan', 'ramah', 'buat', 'agan', 'yg', 'lain', 'pokoknya', 'gak', 'usah', 'ragu', 'deh', 'dengan', 'boss', 'yg', 'satu', 'ini', 'dijamin', 'memuaskan', 'terima', 'kasih', 'dan', 'sukses', 'terus', 'bossque']","['nice', 'perfecto', 'barang', 'terima', 'dengan', 'sangat', 'baik', 'respons', 'cepat', 'pengiriman', 'cepat', 'pelayanan', 'cepat', 'dan', 'ramah', 'buat', 'agan', 'yang', 'lain', 'pokoknya', 'tidak', 'usah', 'ragu', 'deh', 'dengan', 'boss', 'yang', 'satu', 'ini', 'dijamin', 'memuaskan', 'terima', 'kasih', 'dan', 'sukses', 'terus', 'bossque']","['nice', 'perfecto', 'barang', 'terima', 'dengan', 'sangat', 'baik', 'respons', 'cepat', 'kirim', 'cepat', 'layan', 'cepat', 'dan', 'ramah', 'buat', 'agan', 'yang', 'lain', 'pokok', 'tidak', 'usah', 'ragu', 'deh', 'dengan', 'boss', 'yang', 'satu', 'ini', 'jamin', 'muas', 'terima', 'kasih', 'dan', 'sukses', 'terus', 'bossque']",nice perfecto barang terima respons cepat kirim cepat layan cepat ramah agan pokok ragu deh boss jamin muas terima kasih sukses bossque
tq brg cpt nyampe dan enak,4,Positive,"['tq', 'brg', 'cpt', 'nyampe', 'dan', 'enak']","['terima kasih', 'barang', 'cepat', 'sampai', 'dan', 'enak']","['terima kasih', 'barang', 'cepat', 'sampai', 'dan', 'enak']",terima kasih barang cepat enak
lumayan enak namun sayang nggak free ongkir katanya bs next day namun  hari setelah pesan baru sampai,4,Negative,"['lumayan', 'enak', 'namun', 'sayang', 'nggak', 'free', 'ongkir', 'katanya', 'bs', 'next', 'day', 'namun', 'hari', 'setelah', 'pesan', 'baru', 'sampai']","['lumayan', 'enak', 'namun', 'sayang', 'nggak', 'free', 'ongkir', 'katanya', 'bisa', 'lanjut', 'hari', 'namun', 'hari', 'setelah', 'pesan', 'baru', 'sampai']","['lumayan', 'enak', 'namun', 'sayang', 'nggak', 'free', 'ongkir', 'kata', 'bisa', 'lanjut', 'hari', 'namun', 'hari', 'telah', 'pesan', 'baru', 'sampai']",lumayan enak sayang nggak free ongkir pesan
alhamdulillah sampai tepat waktu sebelum buka puasa,5,Positive,"['alhamdulillah', 'sampai', 'tepat', 'waktu', 'sebelum', 'buka', 'puasa']","['alhamdulillah', 'sampai', 'tepat', 'waktu', 'sebelum', 'buka', 'puasa']","['alhamdulillah', 'sampai', 'tepat', 'waktu', 'belum', 'buka', 'puasa']",alhamdulillah buka puasa
puassssssssssssss dikirimnya ke pacarku krn pacarku suka bangettt,5,Positive,"['puassssssssssssss', 'dikirimnya', 'ke', 'pacarku', 'krn', 'pacarku', 'suka', 'bangettt']","['puassssssssssssss', 'kirim', 'ke', 'pacarku', 'karena', 'pacarku', 'suka', 'bangettt']","['puassssssssssssss', 'kirim', 'ke', 'pacar', 'karena', 'pacar', 'suka', 'bangettt']",puassssssssssssss kirim pacar pacar suka bangettt
mantap pisangnya,5,Positive,"['mantap', 'pisangnya']","['mantap', 'pisangnya']","['mantap', 'pisang']",mantap pisang
pengemasan bagus hanya saya pesan jumat jd baru dikirim senin karena sabtu libur jd baru sampai selasa malam,5,Positive,"['pengemasan', 'bagus', 'hanya', 'saya', 'pesan', 'jumat', 'jd', 'baru', 'dikirim', 'senin', 'karena', 'sabtu', 'libur', 'jd', 'baru', 'sampai', 'selasa', 'malam']","['pengemasan', 'bagus', 'hanya', 'saya', 'pesan', 'jumat', 'jadi', 'baru', 'dikirim', 'senin', 'karena', 'sabtu', 'libur', 'jadi', 'baru', 'sampai', 'selasa', 'malam']","['emas', 'bagus', 'hanya', 'saya', 'pesan', 'jumat', 'jadi', 'baru', 'kirim', 'senin', 'karena', 'sabtu', 'libur', 'jadi', 'baru', 'sampai', 'selasa', 'malam']",emas bagus pesan jumat kirim senin sabtu libur selasa malam
alhamdulillaah paket sdh datang terima kasih,5,Positive,"['alhamdulillaah', 'paket', 'sdh', 'datang', 'terima', 'kasih']","['alhamdulillaah', 'paket', 'sudah', 'datang', 'terima', 'kasih']","['alhamdulillaah', 'paket', 'sudah', 'datang', 'terima', 'kasih']",alhamdulillaah paket terima kasih
rasanya enak karena beli langsung dari sellernya,5,Positive,"['rasanya', 'enak', 'karena', 'beli', 'langsung', 'dari', 'sellernya']","['rasanya', 'enak', 'karena', 'beli', 'langsung', 'dari', 'sellernya']","['rasa', 'enak', 'karena', 'beli', 'langsung', 'dari', 'sellernya']",enak beli langsung sellernya
